station,cast,rosette,lat,lon,pressure,temp,sal,ctd_oxy,ctd_chl,theta,sigma,oxy_um,dic,alk,ph,po4_um,no23_um,sio4_um,LLN,LLP,PC,PN,PP,PSi,chl_ug,phaeo_ug,het_abund,pro_abund,syn_abund,euk_abund,cruise
1,1,24,21.19,157.742,101.5,22.818,35.111,208.8,0.5619,22.797,24.0776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MT
1,1,23,21.19,157.742,102.3,22.811,35.112,208.7,0.5528,22.79,24.0804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MT
1,1,22,21.19,157.742,102.6,22.807,35.113,208.7,0.5498,22.786,24.0824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MT
1,1,21,21.19,157.742,101.8,22.816,35.112,208.7,0.5581,22.795,24.079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MT
1,1,20,21.19,157.742,100.6,22.82,35.111,208.8,0.5548,22.8,24.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MT
1,1,19,21.19,157.742,101.6,22.817,35.112,208.8,0.5603,22.796,24.0787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MT
1,1,18,21.19,157.742,101.1,22.82,35.111,208.8,0.566,22.799,24.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MT
1,1,17,21.19,157.742,101.1,22.82,35.111,208.8,0.566,22.799,24.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MT
1,1,16,21.19,157.742,101.2,22.819,35.111,208.8,0.5652,22.798,24.0773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MT
1,1,15,21.19,157.742,101.7,22.817,35.112,208.8,0.5592,22.796,24.0787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MT
1,1,14,21.19,157.742,102,22.815,35.112,208.7,0.5565,22.794,24.0793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MT
1,1,13,21.19,157.742,102.3,22.81,35.112,208.7,0.5523,22.789,24.0807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MT
1,1,12,21.19,157.742,102.6,22.807,35.113,208.7,0.55,22.786,24.0824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MT
1,1,11,21.19,157.742,101.6,22.817,35.112,208.8,0.5608,22.796,24.0787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MT
1,1,10,21.19,157.742,102,22.814,35.112,208.7,0.5554,22.793,24.0796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MT
1,1,9,21.19,157.742,101.2,22.819,35.111,208.8,0.5642,22.798,24.0773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MT
1,1,8,21.19,157.742,102.2,22.812,35.112,208.7,0.5539,22.791,24.0801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MT
1,1,7,21.19,157.742,100.8,22.82,35.111,208.8,0.5613,22.8,24.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MT
1,1,6,21.19,157.742,102,22.814,35.112,208.7,0.5554,22.793,24.0796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MT
1,1,5,21.19,157.742,100.6,22.82,35.111,208.8,0.556,22.8,24.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MT
