station,cast,time,max_depth,bottles,lat,lon
1,1,2017-06-27T03:55:19Z,104.18,24,21.190166666666666,-157.74216666666666
2,1,2017-06-27T17:54:17Z,202.65,24,22.925833333333333,-157.7475
3,1,2017-06-28T10:34:41Z,203.46,11,23.943,-158.09283333333335
4,1,2017-06-29T17:48:40Z,201.91,24,27.951666666666668,-157.28366666666668
4,2,2017-06-29T20:12:29Z,555.08,24,27.950833333333332,-157.28416666666666
4,3,2017-06-29T22:11:32Z,202.47,21,27.950333333333333,-157.286
5,1,2017-06-30T05:12:29Z,202.8,24,27.18,-157.6075
5,2,2017-06-30T07:02:12Z,505.75,24,27.179666666666666,-157.60733333333334
6,1,2017-06-30T13:32:52Z,501.58,24,26.370166666666666,-158.01066666666668
6,2,2017-06-30T15:23:09Z,201.53,24,26.3705,-158.01083333333332
6,3,2017-06-30T16:34:20Z,201.35,24,26.37,-158.01066666666668
7,1,2017-06-30T18:35:43Z,200.71,24,26.17,-158.02233333333334
7,2,2017-06-30T20:25:11Z,201.31,15,26.170833333333334,-158.0225
7,3,2017-06-30T22:31:00Z,502.58,24,26.170166666666667,-158.02183333333332
8,1,2017-07-01T01:11:24Z,201.09,24,25.925,-158.1235
8,2,2017-07-01T03:07:32Z,500.92,24,25.924333333333333,-158.12366666666668
9,1,2017-07-01T05:52:32Z,15.98,10,25.678833333333333,-158.225
9,2,2017-07-01T06:32:21Z,202.46,24,25.679,-158.225
9,3,2017-07-01T08:11:25Z,501.39,24,25.68016666666667,-158.22516666666667
10,1,2017-07-01T10:45:09Z,502.68,24,25.432333333333332,-158.32683333333333
10,2,2017-07-01T13:34:21Z,200.55,24,25.431833333333334,-158.327
11,1,2017-07-01T16:44:55Z,520.6,24,25.186,-158.42816666666667
11,2,2017-07-01T18:28:10Z,203.11,24,25.187666666666665,-158.42833333333334
11,3,2017-07-01T20:04:36Z,200.91,24,25.1865,-158.42933333333335
12,1,2017-07-01T22:50:07Z,200.85,24,24.8595,-158.56833333333333
12,2,2017-07-02T00:30:43Z,501.24,20,24.860500000000002,-158.56883333333334
13,1,2017-07-02T05:00:28Z,501.52,24,24.470833333333335,-158.72316666666666
13,2,2017-07-02T07:04:16Z,200.69,24,24.472166666666666,-158.71933333333334
13,3,2017-07-02T08:32:49Z,16.59,24,24.4715,-158.72316666666666
14,1,2017-07-02T11:33:12Z,501.83,18,23.999833333333335,-158.91716666666667
14,2,2017-07-02T13:32:57Z,201.13,24,24.0005,-158.91816666666668
15,1,2017-07-03T21:26:55Z,224.09,4,25.09,-158.07983333333334
15,2,2017-07-04T00:29:27Z,201.38,24,25.089833333333335,-158.08
15,3,2017-07-04T01:50:10Z,501.76,24,25.090833333333332,-158.07983333333334
L1,1,2017-07-04T08:31:51Z,400.7,24,24.727666666666668,-158.561
L1,2,2017-07-04T15:58:17Z,400.47,24,24.721333333333334,-158.5095
L1,3,2017-07-04T18:46:49Z,400.88,23,24.7235,-158.5025
L1,4,2017-07-04T23:28:29Z,401.11,15,24.720333333333333,-158.48666666666668
L1,5,2017-07-05T00:55:18Z,700.41,12,24.724166666666665,-158.4835
L1,6,2017-07-05T03:02:11Z,401.34,23,24.730333333333334,-158.48916666666668
L1,7,2017-07-05T05:38:08Z,15.71,24,24.745166666666666,-158.48216666666667
L1,8,2017-07-05T06:11:04Z,15.5,24,24.745166666666666,-158.48216666666667
L1,9,2017-07-05T07:00:56Z,400.97,23,24.744,-158.4815
L1,10,2017-07-05T11:03:50Z,400.27,23,24.758666666666667,-158.4785
L1,11,2017-07-05T14:52:34Z,401.18,24,24.759,-158.499
L1,12,2017-07-05T18:00:00Z,45.33,24,24.782,-158.508
L1,13,2017-07-05T19:08:06Z,400.26,22,24.783333333333335,-158.50916666666666
L1,14,2017-07-05T20:31:13Z,400.73,23,24.7905,-158.50216666666665
L1,15,2017-07-05T23:17:00Z,401.43,14,24.786833333333334,-158.5155
L1,16,2017-07-06T02:58:18Z,401.91,17,24.791,-158.557
L1,17,2017-07-06T06:57:19Z,401.08,24,24.799166666666668,-158.56966666666668
L1,18,2017-07-06T10:55:12Z,701.31,22,24.808833333333332,-158.59766666666667
L1,19,2017-07-06T14:54:37Z,401.09,24,24.810333333333332,-158.62016666666668
L1,20,2017-07-06T16:23:51Z,400.94,24,24.811333333333334,-158.6205
L1,21,2017-07-06T17:31:12Z,201.55,24,24.812,-158.62083333333334
L1,22,2017-07-06T19:09:52Z,401.51,16,24.812333333333335,-158.62116666666665
L1,23,2017-07-06T23:23:35Z,701.2,24,24.809,-158.67283333333333
