"cruise","station","cast","rosette","pressure","temp","sal","theta","dic","alk","ph","oxy_um","het_abund","pro_abund","syn_abund","euk_abund"
"FK","29",1,18,25.8,22.729,35.142,22.724,NA,NA,NA,NA,NA,NA,NA,NA
"FK","29",1,17,26.3,22.728,35.142,22.723,NA,NA,NA,NA,NA,NA,NA,NA
"FK","29",1,16,25.5,22.73,35.141,22.725,NA,NA,NA,NA,NA,NA,NA,NA
"FK","29",1,15,25.3,22.73,35.141,22.725,NA,NA,NA,NA,NA,NA,NA,NA
"FK","29",1,14,25.4,22.73,35.141,22.725,NA,NA,NA,NA,NA,NA,NA,NA
"FK","29",1,13,25.1,22.73,35.141,22.725,NA,NA,NA,NA,NA,NA,NA,NA
"FK","29",1,12,50.2,22.654,35.154,22.644,NA,NA,NA,NA,NA,NA,NA,NA
"FK","29",1,11,49.8,22.654,35.154,22.644,NA,NA,NA,NA,NA,NA,NA,NA
"FK","29",1,10,109.7,21.015,35.152,20.994,NA,NA,NA,NA,NA,NA,NA,NA
"FK","29",1,9,109.9,20.994,35.15,20.973,NA,NA,NA,NA,NA,NA,NA,NA
"FK","29",1,8,123.6,20.303,35.083,20.28,NA,NA,NA,NA,NA,NA,NA,NA
"FK","29",1,7,122.8,20.333,35.085,20.31,NA,NA,NA,NA,NA,NA,NA,NA
"FK","29",1,6,123.7,20.299,35.083,20.276,NA,NA,NA,NA,NA,NA,NA,NA
"FK","29",1,5,124.3,20.288,35.082,20.265,NA,NA,NA,NA,NA,NA,NA,NA
"FK","29",1,4,124.3,20.288,35.082,20.265,NA,NA,NA,NA,NA,NA,NA,NA
"FK","29",1,3,124.1,20.285,35.082,20.262,NA,NA,NA,NA,NA,NA,NA,NA
"FK","29",1,2,249.9,13.071,34.251,13.037,NA,NA,NA,NA,NA,NA,NA,NA
"FK","29",1,1,249.7,13.073,34.252,13.039,NA,NA,NA,NA,NA,NA,NA,NA
"FK","30",1,8,6,23.182,35.118,23.181,NA,NA,NA,NA,NA,NA,NA,NA
"FK","30",1,7,17,22.917,35.133,22.914,NA,NA,NA,NA,NA,NA,NA,NA
"FK","30",1,6,24.9,22.755,35.149,22.75,NA,NA,NA,NA,NA,NA,NA,NA
"FK","30",1,5,26.2,22.753,35.149,22.748,NA,NA,NA,NA,NA,NA,NA,NA
"FK","30",1,4,50.5,22.675,35.155,22.665,NA,NA,NA,NA,NA,NA,NA,NA
"FK","30",1,3,94.5,21.37,35.164,21.352,NA,NA,NA,NA,NA,NA,NA,NA
"FK","30",1,2,125.3,20.091,35.079,20.068,NA,NA,NA,NA,NA,NA,NA,NA
"FK","30",1,1,250,13.145,34.263,13.111,NA,NA,NA,NA,NA,NA,NA,NA
"FK","31",1,5,5.2,23.007,35.129,23.006,NA,NA,NA,NA,NA,NA,NA,NA
"FK","31",1,4,14.7,22.753,35.145,22.75,NA,NA,NA,NA,NA,NA,NA,NA
"FK","31",1,3,50.4,22.657,35.16,22.647,NA,NA,NA,NA,NA,NA,NA,NA
"FK","31",1,2,115.3,21.045,35.174,21.023,NA,NA,NA,NA,NA,NA,NA,NA
"FK","31",1,1,250.6,13.008,34.256,12.974,NA,NA,NA,NA,NA,NA,NA,NA
"FK","32",1,12,5.9,23.214,35.136,23.213,NA,NA,NA,NA,NA,NA,NA,NA
"FK","32",1,11,15.1,22.815,35.147,22.812,NA,NA,NA,NA,NA,NA,NA,NA
"FK","32",1,10,25.5,22.771,35.149,22.766,NA,NA,NA,NA,NA,NA,NA,NA
"FK","32",1,9,25,22.773,35.149,22.768,NA,NA,NA,NA,NA,NA,NA,NA
"FK","32",1,8,26,22.768,35.149,22.763,NA,NA,NA,NA,NA,NA,NA,NA
