"station","PC_um","PN_um","cast","rosette","cruise"
"10",0.899903412313614,0.139333506052047,2,16,"MT"
"10",1.7514475291057,0.283617948867364,2,10,"MT"
"10",0.634978575978297,0.124480695762235,2,5,"MT"
"11",1.82173371017425,0.270886968618954,2,17,"MT"
"11",1.88030552773138,0.326054549695398,2,13,"MT"
"11",0.628670841779838,0.101140565306816,2,5,"MT"
"12",2.36780327078378,0.283617948867364,1,24,"MT"
"12",1.86678895444897,0.285739778908766,1,16,"MT"
"12",2.8525976991797,0.436389711848288,1,13,"MT"
"12",0.699858127733885,0.0968969052240121,1,5,"MT"
"13",2.30833034834116,0.279374288784561,2,24,"MT"
"13",2.09566959536451,0.264521478494748,2,20,"MT"
"13",1.79560166849492,0.294227099074373,2,10,"MT"
"13",0.649396254146206,0.122358865720833,2,5,"MT"
"14",2.11909832238736,0.268765138577552,2,24,"MT"
"14",1.55951218849542,0.228450367790919,2,16,"MT"
"14",1.49733595139632,0.249668668204936,2,12,"MT"
"14",0.798979665138255,0.141455336093448,2,5,"MT"
"4",1.92982875039667,0.299973722103169,1,19,"MT"
"4",0.890742179311089,0.120944312359898,1,17,"MT"
"4",2.39513678564378,0.397843132762824,1,9,"MT"
"4",0.724488327937395,0.125718429953052,1,1,"MT"
"5",2.01186684101355,0.292105269032971,1,24,"MT"
"5",2.14342815429571,0.323932719653997,1,16,"MT"
"5",1.48832490254137,0.251790498246338,1,13,"MT"
"5",0.882782419489223,0.137211676010645,1,5,"MT"
"6",1.90373425475423,0.264521478494748,3,24,"MT"
"6",2.11188948330341,0.30271441923998,3,16,"MT"
"6",1.67935913826616,0.289983438991569,3,11,"MT"
"6",0.729594588955196,0.137211676010645,3,5,"MT"
"7",1.84245912254062,0.277252458743159,1,24,"MT"
"7",1.96500938696784,0.309079909364185,1,16,"MT"
"7",1.63971052330441,0.289983438991569,1,11,"MT"
"7",0.798979665138255,0.154186316341859,1,5,"MT"
"8",1.88751436681534,0.236937687956526,1,24,"MT"
"8",1.98483369444872,0.304836249281381,1,16,"MT"
"8",1.59916080345717,0.289983438991569,1,10,"MT"
"8",0.687242659336965,0.137211676010645,1,5,"MT"
"9",2.12810937124231,0.258155988370543,2,22,"MT"
"9",2.30923145322666,0.264521478494748,2,17,"MT"
"9",1.49553374162533,0.270886968618954,2,13,"MT"
"9",0.611549848955446,0.115993375596628,2,4,"MT"
"10",1.7729574420251,0.275130628701757,2,24,"MT"
"11",1.8119623046472,0.393953111020254,2,23,"MT"
"L1",1.76409681975217,0.321510715295536,4,9,"MC"
"L1",2.95311361896839,0.501014216391059,4,2,"MC"
"L1",2.16753133474625,0.314330575251716,6,23,"MC"
"L1",2.23443253572517,0.316723955266323,6,17,"MC"
"L1",2.57197950430062,0.433999575982064,6,15,"MC"
"L1",2.79903812580482,0.45314661609892,6,14,"MC"
"L1",2.86999394502489,0.493834076347238,6,7,"MC"
"L1",1.83505263897223,0.311937195237109,6,5,"MC"
"L1",0.97851453553003,0.173121154389904,6,4,"MC"
"L1",0.713950695295219,0.127646934112372,6,3,"MC"
"L1",2.15435382546252,0.32629747532475,9,9,"MC"
"L1",2.6946317060953,0.431606195967457,9,2,"MC"
"L1",2.57502046798148,0.338264375397785,10,9,"MC"
"L1",2.16955864386682,0.364591555558462,10,2,"MC"
"L1",2.03068796910756,0.304757055193288,11,19,"MC"
"L1",2.46960039371167,0.402885635792173,11,10,"MC"
"L1",2.11684860673192,0.338264375397785,13,10,"MC"
"L1",2.10367109744819,0.362198175543855,13,8,"MC"
"L1",1.95669118620663,0.319117335280929,15,9,"MC"
"L1",2.31045662774667,0.362198175543855,15,2,"MC"
"L1",2.04183816927071,0.314330575251716,16,10,"MC"
