"cruise","station","cast","rosette","pressure"
"FK","29",1,18,25.8
"FK","29",1,17,26.3
"FK","29",1,16,25.5
"FK","29",1,15,25.3
"FK","29",1,14,25.4
"FK","29",1,13,25.1
"FK","29",1,12,50.2
"FK","29",1,11,49.8
"FK","29",1,10,109.7
"FK","29",1,9,109.9
"FK","29",1,8,123.6
"FK","29",1,7,122.8
"FK","29",1,6,123.7
"FK","29",1,5,124.3
"FK","29",1,4,124.3
"FK","29",1,3,124.1
"FK","29",1,2,249.9
"FK","29",1,1,249.7
"FK","30",1,8,6
"FK","30",1,7,17
"FK","30",1,6,24.9
"FK","30",1,5,26.2
"FK","30",1,4,50.5
"FK","30",1,3,94.5
"FK","30",1,2,125.3
"FK","30",1,1,250
"FK","31",1,5,5.2
"FK","31",1,4,14.7
"FK","31",1,3,50.4
"FK","31",1,2,115.3
"FK","31",1,1,250.6
"FK","32",1,12,5.9
"FK","32",1,11,15.1
"FK","32",1,10,25.5
"FK","32",1,9,25
"FK","32",1,8,26
"FK","32",1,7,25.7
"FK","32",1,6,50.4
"FK","32",1,5,95.3
"FK","32",1,4,125.4
"FK","32",1,3,124.5
"FK","32",1,2,125.1
"FK","32",1,1,248.9
"FK","33",1,24,5.7
"FK","33",1,23,4.9
"FK","33",1,22,5
"FK","33",1,21,25.2
"FK","33",1,20,25.3
"FK","33",1,19,24.6
"FK","33",1,18,43.9
"FK","33",1,17,45.1
"FK","33",1,16,44.5
"FK","33",1,15,75.7
"FK","33",1,14,75
"FK","33",1,13,75.6
"FK","33",1,12,99.9
"FK","33",1,11,100.2
"FK","33",1,10,101
"FK","33",1,9,100.5
"FK","33",1,8,124
"FK","33",1,7,124.3
"FK","33",1,6,125.6
"FK","33",1,5,125.5
"FK","33",1,4,150.8
"FK","33",1,3,175.6
"FK","33",1,2,200.8
"FK","33",1,1,225
"FK","34",1,20,5.5
"FK","34",1,19,5.3
"FK","34",1,18,5.5
"FK","34",1,17,5.7
"FK","34",1,16,5.7
"FK","34",1,15,15.9
"FK","34",1,14,15.1
"FK","34",1,13,15.8
"FK","34",1,12,15.8
"FK","34",1,11,25.7
"FK","34",1,10,25.1
"FK","34",1,9,49.8
"FK","34",1,8,76
"FK","34",1,7,75.1
"FK","34",1,6,100.2
"FK","34",1,5,100.2
"FK","34",1,4,120.8
"FK","34",1,3,120.5
"FK","34",1,2,125.7
"FK","34",1,1,250.8
"FK","35",1,15,5.2
"FK","35",1,14,5.4
"FK","35",1,13,15.6
"FK","35",1,12,15.1
"FK","35",1,11,15.3
"FK","35",1,10,25
"FK","35",1,9,50.2
"FK","35",1,8,74.7
"FK","35",1,7,75
"FK","35",1,6,99.6
"FK","35",1,5,99.9
"FK","35",1,4,99.8
"FK","35",1,3,99.8
"FK","35",1,2,99.5
"FK","35",1,1,249.7
"FK","36",1,23,4.9
"FK","36",1,22,5.2
"FK","36",1,21,5
"FK","36",1,20,4.5
"FK","36",1,19,4.7
"FK","36",1,18,25.2
"FK","36",1,17,25.2
"FK","36",1,16,46.7
"FK","36",1,15,46.7
"FK","36",1,14,75
"FK","36",1,13,74.8
"FK","36",1,12,75.1
"FK","36",1,11,75
"FK","36",1,10,100.7
"FK","36",1,9,101
"FK","36",1,8,100.6
"FK","36",1,7,100.4
"FK","36",1,6,125
"FK","36",1,5,124.5
"FK","36",1,4,150.6
"FK","36",1,3,150.7
"FK","36",1,2,175.2
"FK","36",1,1,175.7
"FK","37",1,16,5.3
"FK","37",1,15,5.3
"FK","37",1,14,5.3
"FK","37",1,13,14.8
"FK","37",1,12,25.5
"FK","37",1,11,25.5
"FK","37",1,10,50.6
"FK","37",1,9,75.2
"FK","37",1,8,75
"FK","37",1,7,97.4
"FK","37",1,6,98.5
"FK","37",1,5,98
"FK","37",1,4,100.6
"FK","37",1,3,100.9
"FK","37",1,2,125.8
"FK","37",1,1,250.8
"FK","38",1,6,5.1
"FK","38",1,5,5.5
"FK","38",1,4,74.9
"FK","38",1,3,75.7
"FK","38",1,2,99.9
"FK","38",1,1,101
"FK","39",1,8,6
"FK","39",1,7,5.5
"FK","39",1,6,75.3
"FK","39",1,5,74.4
"FK","39",1,4,100
"FK","39",1,3,99.8
"FK","39",1,2,110.4
"FK","39",1,1,110.7
"FK","40",1,24,4.8
"FK","40",1,23,4.9
"FK","40",1,22,4.9
"FK","40",1,21,5.2
"FK","40",1,20,5.5
"FK","40",1,19,25
"FK","40",1,18,25.2
"FK","40",1,17,25
"FK","40",1,16,45.2
"FK","40",1,15,45
"FK","40",1,14,44.9
"FK","40",1,13,74.6
"FK","40",1,12,76.3
"FK","40",1,11,75.2
"FK","40",1,10,75.3
"FK","40",1,9,99.8
"FK","40",1,8,100.6
"FK","40",1,7,99.8
"FK","40",1,6,100.2
"FK","40",1,5,113.5
"FK","40",1,4,113.2
"FK","40",1,3,125.7
"FK","40",1,2,125.5
"FK","40",1,1,124.8
"FK","41",1,22,5.7
"FK","41",1,21,5.3
"FK","41",1,20,5.6
"FK","41",1,19,5.1
"FK","41",1,18,5.5
"FK","41",1,17,14.9
"FK","41",1,16,14.9
"FK","41",1,15,14.9
"FK","41",1,14,25.6
"FK","41",1,13,25.7
"FK","41",1,12,49.6
"FK","41",1,11,75.2
"FK","41",1,10,75.8
"FK","41",1,9,75.6
"FK","41",1,8,100.6
"FK","41",1,7,100.5
"FK","41",1,6,99.7
"FK","41",1,5,100
"FK","41",1,4,100.6
"FK","41",1,3,125
"FK","41",1,2,125.9
"FK","41",1,1,250.3
"FK","42",1,17,5.1
"FK","42",1,16,4.7
"FK","42",1,15,5.1
"FK","42",1,14,15.1
"FK","42",1,13,14.9
"FK","42",1,12,15.1
"FK","42",1,11,14
"FK","42",1,10,15.1
"FK","42",1,9,50.7
"FK","42",1,8,74.8
"FK","42",1,7,75.4
"FK","42",1,6,100.6
"FK","42",1,5,100.4
"FK","42",1,4,103.9
"FK","42",1,3,103.2
"FK","42",1,2,103.8
"FK","42",1,1,250.5
"FK","43",1,23,5.6
"FK","43",1,22,5.3
"FK","43",1,21,5.4
"FK","43",1,20,25.2
"FK","43",1,19,45.2
"FK","43",1,18,75.5
"FK","43",1,17,75.2
"FK","43",1,16,75.2
"FK","43",1,15,101.4
"FK","43",1,14,100.3
"FK","43",1,13,100.7
"FK","43",1,12,104.2
"FK","43",1,11,104.2
"FK","43",1,10,124.7
"FK","43",1,9,149.9
"FK","43",1,8,174.9
"FK","43",1,7,199.9
"FK","43",1,6,300.2
"FK","43",1,5,400.2
"FK","43",1,4,500.4
"FK","43",1,3,599.8
"FK","43",1,2,699.6
"FK","43",1,1,769.1
"FK","44",1,20,5.3
"FK","44",1,19,5.5
"FK","44",1,18,5.5
"FK","44",1,17,5.8
"FK","44",1,16,15.3
"FK","44",1,15,14.5
"FK","44",1,14,15.1
"FK","44",1,13,24.7
"FK","44",1,12,24.9
"FK","44",1,11,49.9
"FK","44",1,10,75.5
"FK","44",1,9,74.3
"FK","44",1,8,100
"FK","44",1,7,99
"FK","44",1,6,105.9
"FK","44",1,5,106.1
"FK","44",1,4,105.9
"FK","44",1,3,106.3
"FK","44",1,2,125.7
"FK","44",1,1,250.4
"FK","45",1,10,5
"FK","45",1,9,5.4
"FK","45",1,8,5.3
"FK","45",1,7,5.1
"FK","45",1,6,75.1
"FK","45",1,5,75.1
"FK","45",1,4,99.5
"FK","45",1,3,100.1
