"filename","timestamp"
"170706_Blk_Blk0p2_1.mzML",2017-07-09 00:25:06
"170706_Blk_Blk0p2_2.mzML",2017-07-11 18:16:51
"180205_Poo_TruePoo_Full1.mzML",2018-02-06 01:03:46
"180205_Poo_TruePoo_Full2.mzML",2018-02-06 20:25:24
"180205_Poo_TruePoo_Full3.mzML",2018-02-08 11:59:10
"180205_Poo_TruePoo_Half1.mzML",2018-02-06 01:54:16
"180205_Poo_TruePoo_Half2.mzML",2018-02-06 19:34:55
"180205_Poo_TruePoo_Half3.mzML",2018-02-07 17:28:03
"180205_Smp_L1C32DCMless10m_A.mzML",2018-02-06 08:38:20
"180205_Smp_L1C32DCMless10m_B.mzML",2018-02-07 04:50:29
"180205_Smp_L1C32DCMless10m_C.mzML",2018-02-08 00:12:08
"180205_Smp_L1C32DCMless20m_A.mzML",2018-02-06 11:09:50
"180205_Smp_L1C32DCMless20m_B.mzML",2018-02-07 08:12:29
"180205_Smp_L1C32DCMless20m_C.mzML",2018-02-08 06:05:39
"180205_Smp_L1C33DCM_A.mzML",2018-02-06 13:41:22
"180205_Smp_L1C33DCM_B.mzML",2018-02-06 23:47:28
"180205_Smp_L1C33DCM_C.mzML",2018-02-08 09:27:42
"180205_Smp_L1C33DCMplus10m_A.mzML",2018-02-06 05:16:17
"180205_Smp_L1C33DCMplus10m_B.mzML",2018-02-07 13:15:29
"180205_Smp_L1C33DCMplus10m_C.mzML",2018-02-08 05:15:11
"180205_Smp_L1C33DCMplus20m_A.mzML",2018-02-06 14:31:51
"180205_Smp_L1C33DCMplus20m_B.mzML",2018-02-07 07:21:59
"180205_Smp_L1C33DCMplus20m_C.mzML",2018-02-08 02:43:41
"180205_Smp_L2C1DCMless10m_A.mzML",2018-02-06 15:22:21
"180205_Smp_L2C1DCMless10m_B.mzML",2018-02-07 02:18:56
"180205_Smp_L2C1DCMless10m_C.mzML",2018-02-08 08:37:09
"180205_Smp_L2C1DCMless20m_A.mzML",2018-02-06 04:25:48
"180205_Smp_L2C1DCMless20m_B.mzML",2018-02-07 05:40:57
"180205_Smp_L2C1DCMless20m_C.mzML",2018-02-08 01:02:39
"180205_Smp_L2C2DCM_A.mzML",2018-02-06 12:00:21
"180205_Smp_L2C2DCM_B.mzML",2018-02-07 09:53:29
"180205_Smp_L2C2DCM_C.mzML",2018-02-08 03:34:09
"180205_Smp_L2C2DCMplus10m_A.mzML",2018-02-06 07:47:49
"180205_Smp_L2C2DCMplus10m_B.mzML",2018-02-07 01:28:28
"180205_Smp_L2C2DCMplus10m_C.mzML",2018-02-08 07:46:41
"180205_Smp_L2C2DCMplus20m_A.mzML",2018-02-06 06:57:19
"180205_Smp_L2C2DCMplus20m_B.mzML",2018-02-07 12:25:01
"180205_Smp_L2C2DCMplus20m_C.mzML",2018-02-08 11:08:43
"180205_Std_4uMStdsInH2O_1.mzML",2018-02-05 20:00:46
"180205_Std_4uMStdsInH2O_2.mzML",2018-02-08 14:30:42
"180205_Std_4uMStdsInMatrix_1.mzML",2018-02-05 21:41:47
"180205_Std_4uMStdsInMatrix_2.mzML",2018-02-08 13:40:14
"180821_Poo_Day1and2Poo_Full1.mzML",NA
