"cruise","station","cast","rosette","pressure","PAR","PAR_perc"
"MC","L1",1,24,20.4,15.2304633333333,30.318
"MC","L1",1,24,20.4,15.2304633333333,30.318
"MC","L1",1,23,19.9,15.991545,31.82
"MC","L1",1,22,20.4,15.2304633333333,30.318
"MC","L1",1,22,20.4,15.2304633333333,30.318
"MC","L1",1,21,40.5,7.95375833333333,15.7883333333333
"MC","L1",1,20,40.2,8.03016333333333,15.9353333333333
"MC","L1",1,19,40.6,7.92829,15.7393333333333
"MC","L1",1,18,60,3.97896666666667,7.88666666666667
"MC","L1",1,17,60.4,3.88159333333333,7.694
"MC","L1",1,16,60.2,3.93028,7.79033333333333
"MC","L1",1,15,80.2,1.70946333333333,3.39033333333333
"MC","L1",1,14,80.1,1.71699833333333,3.40516666666667
"MC","L1",1,13,79.4,1.77231333333333,3.515
"MC","L1",1,12,99.4,0.747743666666666,1.484
"MC","L1",1,11,98.9,0.7633545,1.515
"MC","L1",1,11,98.9,0.7633545,1.515
"MC","L1",1,10,99.1,0.756269666666667,1.501
"MC","L1",1,9,120.1,0.2548145,0.505666666666667
"MC","L1",1,8,119.7,0.261233333333333,0.518333333333333
"MC","L1",1,7,120.2,0.253470666666667,0.503
"MC","L1",1,6,139.9,0.0977299333333333,0.194166666666667
"MC","L1",1,6,139.9,0.0977299333333333,0.194166666666667
"MC","L1",1,5,139.9,0.0977299333333333,0.194166666666667
"MC","L1",1,5,139.9,0.0977299333333333,0.194166666666667
"MC","L1",1,4,160.3,0.0441640166666667,0.0878333333333333
"MC","L1",1,3,161,0.0435581666666667,0.0866666666666667
"MC","L1",1,2,180.8,0.0212389,NA
"MC","L1",1,1,179.9,0.0217247166666667,0.0405
"MC","L1",2,24,25.4,11.9913833333333,23.9156666666667
"MC","L1",2,24,25.4,11.9913833333333,23.9156666666667
"MC","L1",2,24,25.4,11.9913833333333,23.9156666666667
"MC","L1",2,24,25.4,11.9913833333333,23.9156666666667
"MC","L1",2,23,25.6,11.8855333333333,23.6976666666667
"MC","L1",2,23,25.6,11.8855333333333,23.6976666666667
"MC","L1",2,23,25.6,11.8855333333333,23.6976666666667
"MC","L1",2,22,25.5,11.9384583333333,23.8066666666667
"MC","L1",2,21,25.6,11.8855333333333,23.6976666666667
"MC","L1",2,21,25.6,11.8855333333333,23.6976666666667
"MC","L1",2,21,25.6,11.8855333333333,23.6976666666667
"MC","L1",2,20,25.2,12.0972333333333,24.1336666666667
"MC","L1",2,20,25.2,12.0972333333333,24.1336666666667
"MC","L1",2,20,25.2,12.0972333333333,24.1336666666667
"MC","L1",2,20,25.2,12.0972333333333,24.1336666666667
"MC","L1",2,20,25.2,12.0972333333333,24.1336666666667
"MC","L1",2,19,25.3,12.0443083333333,24.0246666666667
"MC","L1",2,19,25.3,12.0443083333333,24.0246666666667
"MC","L1",2,19,25.3,12.0443083333333,24.0246666666667
"MC","L1",2,18,24.7,12.3510633333333,24.6381666666667
"MC","L1",2,17,24.9,12.25241,24.4471666666667
"MC","L1",2,16,25.2,12.0972333333333,24.1336666666667
"MC","L1",2,16,25.2,12.0972333333333,24.1336666666667
"MC","L1",2,16,25.2,12.0972333333333,24.1336666666667
"MC","L1",2,16,25.2,12.0972333333333,24.1336666666667
"MC","L1",2,16,25.2,12.0972333333333,24.1336666666667
"MC","L1",2,15,25.1,12.1501583333333,24.2426666666667
"MC","L1",2,15,25.1,12.1501583333333,24.2426666666667
"MC","L1",2,14,25.4,11.9913833333333,23.9156666666667
"MC","L1",2,14,25.4,11.9913833333333,23.9156666666667
"MC","L1",2,14,25.4,11.9913833333333,23.9156666666667
"MC","L1",2,14,25.4,11.9913833333333,23.9156666666667
"MC","L1",2,13,25.2,12.0972333333333,24.1336666666667
"MC","L1",2,13,25.2,12.0972333333333,24.1336666666667
"MC","L1",2,13,25.2,12.0972333333333,24.1336666666667
"MC","L1",2,13,25.2,12.0972333333333,24.1336666666667
"MC","L1",2,13,25.2,12.0972333333333,24.1336666666667
"MC","L1",2,12,100.2,0.724847333333333,1.43833333333333
"MC","L1",2,12,100.2,0.724847333333333,1.43833333333333
"MC","L1",2,12,100.2,0.724847333333333,1.43833333333333
"MC","L1",2,12,100.2,0.724847333333333,1.43833333333333
"MC","L1",2,12,100.2,0.724847333333333,1.43833333333333
"MC","L1",2,12,100.2,0.724847333333333,1.43833333333333
"MC","L1",2,12,100.2,0.724847333333333,1.43833333333333
"MC","L1",2,11,100.4,0.719003,1.42666666666667
"MC","L1",2,11,100.4,0.719003,1.42666666666667
"MC","L1",2,11,100.4,0.719003,1.42666666666667
"MC","L1",2,10,100.2,0.724847333333333,1.43833333333333
"MC","L1",2,10,100.2,0.724847333333333,1.43833333333333
"MC","L1",2,10,100.2,0.724847333333333,1.43833333333333
"MC","L1",2,10,100.2,0.724847333333333,1.43833333333333
"MC","L1",2,10,100.2,0.724847333333333,1.43833333333333
"MC","L1",2,10,100.2,0.724847333333333,1.43833333333333
"MC","L1",2,10,100.2,0.724847333333333,1.43833333333333
"MC","L1",2,9,100.1,0.7277695,1.44416666666667
"MC","L1",2,9,100.1,0.7277695,1.44416666666667
"MC","L1",2,9,100.1,0.7277695,1.44416666666667
"MC","L1",2,8,100.1,0.7277695,1.44416666666667
"MC","L1",2,8,100.1,0.7277695,1.44416666666667
"MC","L1",2,8,100.1,0.7277695,1.44416666666667
"MC","L1",2,7,100.4,0.719003,1.42666666666667
"MC","L1",2,7,100.4,0.719003,1.42666666666667
"MC","L1",2,7,100.4,0.719003,1.42666666666667
"MC","L1",2,6,100.1,0.7277695,1.44416666666667
"MC","L1",2,6,100.1,0.7277695,1.44416666666667
"MC","L1",2,6,100.1,0.7277695,1.44416666666667
"MC","L1",2,5,100.6,0.713158666666667,1.415
"MC","L1",2,5,100.6,0.713158666666667,1.415
"MC","L1",2,5,100.6,0.713158666666667,1.415
"MC","L1",2,4,100.2,0.724847333333333,1.43833333333333
"MC","L1",2,4,100.2,0.724847333333333,1.43833333333333
"MC","L1",2,4,100.2,0.724847333333333,1.43833333333333
"MC","L1",2,4,100.2,0.724847333333333,1.43833333333333
"MC","L1",2,4,100.2,0.724847333333333,1.43833333333333
