"station","chl_ug","phaeo_ug","cast","rosette","cruise"
"3",0.0224,0.057,1,4,"MT"
"3",0.0839,0.2624,1,5,"MT"
"3",0.2311,0.5033,1,6,"MT"
"3",0.2055,0.1783,1,7,"MT"
"3",0.1272,0.0794,1,8,"MT"
"3",0.0724,0.0378,1,9,"MT"
"3",0.0598,0.0329,1,10,"MT"
"3",0.0469,0.0263,1,11,"MT"
"4",0.0164,0.0378,1,1,"MT"
"4",0.2637,0.5501,1,9,"MT"
"4",0.1118,0.0882,1,16,"MT"
"4",0.0527,0.0326,1,19,"MT"
"5",0.0634,0.1682,1,5,"MT"
"5",0.25,0.5153,1,13,"MT"
"5",0.1236,0.0766,1,17,"MT"
"5",0.058,0.0253,1,24,"MT"
"6",0.0241,0.0599,3,4,"MT"
"6",0.1866,0.5191,3,12,"MT"
"6",0.0996,0.0675,3,17,"MT"
"6",0.0428,0.0284,3,22,"MT"
"7",0.0399,0.1081,1,4,"MT"
"7",0.1986,0.4917,1,10,"MT"
"7",0.1092,0.0743,1,17,"MT"
"7",0.0476,0.0305,1,22,"MT"
"7",0.0265,0.0623,3,8,"MT"
"7",0.2294,0.5403,3,12,"MT"
"7",0.2209,0.5466,3,15,"MT"
"7",0.1764,0.1567,3,16,"MT"
"7",0.1296,0.0717,3,17,"MT"
"7",0.0769,0.0446,3,20,"MT"
"7",0.0565,0.0346,3,23,"MT"
"7",0.0521,0.0287,3,24,"MT"
"8",0.0322,0.0796,1,4,"MT"
"8",0.2363,0.5423,1,9,"MT"
"8",0.1248,0.0717,1,17,"MT"
"8",0.0541,0.0317,1,22,"MT"
"9",0.0243,0.0617,2,4,"MT"
"9",0.2637,0.5127,2,12,"MT"
"9",0.1164,0.0821,2,17,"MT"
"9",0.0534,0.0302,2,22,"MT"
"10",0.0262,0.0594,2,4,"MT"
"10",0.2226,0.4567,2,9,"MT"
"10",0.0988,0.0783,2,17,"MT"
"10",0.049,0.0287,2,22,"MT"
"11",0.0207,0.0472,2,4,"MT"
"11",0.2294,0.5248,2,12,"MT"
"11",0.0765,0.0763,2,17,"MT"
"11",0.0394,0.0263,2,23,"MT"
"12",0.0084,0.0236,1,4,"MT"
"12",0.2483,0.4928,1,12,"MT"
"12",0.131,0.0863,1,17,"MT"
"12",0.0657,0.0458,1,22,"MT"
"12",0.0152,0.0304,2,5,"MT"
"12",0.0565,0.164,2,8,"MT"
"12",0.1986,0.4498,2,9,"MT"
"12",0.3202,0.6392,2,10,"MT"
"12",0.2466,0.4195,2,12,"MT"
"12",0.1267,0.1027,2,14,"MT"
"12",0.0875,0.0733,2,16,"MT"
"12",0.0442,0.0293,2,18,"MT"
"13",0.0366,0.0986,2,4,"MT"
"13",0.2842,0.4987,2,9,"MT"
"13",0.1336,0.098,2,21,"MT"
"14",0.0351,0.1208,2,4,"MT"
"14",0.2739,0.5928,2,12,"MT"
"14",0.1255,0.09,2,17,"MT"
"14",0.0498,0.0307,2,22,"MT"
"15",0.1507,0.3279,3,1,"MC"
"15",0.1575,0.3828,3,2,"MC"
"15",0.2089,0.4285,3,3,"MC"
"15",0.2534,0.4524,3,4,"MC"
"15",0.2688,0.4612,3,5,"MC"
"15",0.2739,0.4296,3,6,"MC"
"15",0.2962,0.4691,3,7,"MC"
"15",0.315,0.4481,3,8,"MC"
"15",0.1661,0.1603,3,9,"MC"
"15",0.1729,0.138,3,10,"MC"
"15",0.1541,0.1789,3,11,"MC"
"15",0.1387,0.1348,3,12,"MC"
"15",0.1135,0.0865,3,13,"MC"
"15",0.1091,0.068,3,14,"MC"
"15",0.1039,0.0666,3,15,"MC"
"L1",0.0138,0.056,3,1,"MC"
"L1",0.0461,0.1028,3,2,"MC"
"L1",0.1233,0.3825,3,3,"MC"
"L1",0.1347,0.44,3,4,"MC"
"L1",0.1282,0.399,3,5,"MC"
"L1",0.2385,0.614,3,6,"MC"
"L1",0.2434,0.5996,3,7,"MC"
"L1",0.2401,0.5815,3,8,"MC"
"L1",0.2547,0.5883,3,9,"MC"
"L1",0.3034,0.6726,3,10,"MC"
"L1",0.1444,0.1406,3,12,"MC"
"L1",0.1476,0.1563,3,13,"MC"
"L1",0.1476,0.1468,3,14,"MC"
"L1",0.0785,0.0678,3,15,"MC"
"L1",0.0857,0.0787,3,16,"MC"
"L1",0.0814,0.0653,3,17,"MC"
"L1",0.0565,0.0506,3,18,"MC"
"L1",0.0591,0.0523,3,19,"MC"
"L1",0.0612,0.0576,3,20,"MC"
"L1",0.0605,0.0504,3,21,"MC"
"L1",0.0597,0.0426,3,22,"MC"
"L1",0.0552,0.0427,3,23,"MC"
"L1",0.2937,0.6871,4,1,"MC"
"L1",0.0769,0.0694,4,8,"MC"
"L1",0.3164,0.6572,6,6,"MC"
"L1",0.0884,0.0742,6,16,"MC"
"L1",0.2807,0.6336,9,1,"MC"
"L1",0.0754,0.0611,9,8,"MC"
"L1",0.2823,0.6581,10,1,"MC"
"L1",0.0668,0.0441,10,8,"MC"
"L1",0.2255,0.9832,11,9,"MC"
"L1",0.0571,0.0533,11,18,"MC"
"L1",0.2304,0.5295,13,7,"MC"
