"compound_name","polarity","broad_taxa","species","id","value"
"Adenine","pos","Cyanobacteria","Synechococcus sp.","7803_B",50275670.3799122
"Adenine","pos","Cyanobacteria","Synechococcus sp.","7803_F",59571150.3325294
"Adenine","pos","Cyanobacteria","Prochlorococcus marinus","1314P_A",285870191.522763
"Adenine","pos","Cyanobacteria","Prochlorococcus marinus","1314P_B",143027678.007918
"Adenine","pos","Cyanobacteria","Prochlorococcus marinus","1314P_C",334124172.73903
"Adenine","pos","Cyanobacteria","Prochlorococcus marinus","As9601_A",203604860.141282
"Adenine","pos","Cyanobacteria","Prochlorococcus marinus","As9601_B",276757869.066503
"Adenine","pos","Cyanobacteria","Prochlorococcus marinus","As9601_C",167292499.45261
"Adenine","pos","Cyanobacteria","Prochlorococcus marinus","Nat_A",924675073.064474
"Adenine","pos","Cyanobacteria","Prochlorococcus marinus","Nat_B",920126973.623748
"Adenine","pos","Cyanobacteria","Prochlorococcus marinus","Nat_C",712361372.192087
"Adenine","pos","Diatom","Pseudo-nitzschia pungens","Pc55x_A",22789307.3467944
"Adenine","pos","Diatom","Pseudo-nitzschia pungens","Pc55x_B",19182980.0779298
"Adenine","pos","Diatom","Pseudo-nitzschia pungens","Pc55x_C",36054084.1222765
"Adenine","pos","Diatom","Navicula pelliculosa","Np_A",80762974.9731689
"Adenine","pos","Diatom","Navicula pelliculosa","Np_C",45230534.2007867
"Adenine","pos","Diatom","Navicula pelliculosa","Np_F",37304041.4624172
"Adenine","pos","Diatom","Phaeodactylum tricornutum","Pt_C",14740979.409721
"Adenine","pos","Diatom","Phaeodactylum tricornutum","Pt_F",14417788.7684621
"Adenine","pos","Dinoflagellate","Amphidinium carterae","1314_A",602352628.5168
"Adenine","pos","Dinoflagellate","Amphidinium carterae","1314_B",791408301.828774
"Adenine","pos","Dinoflagellate","Amphidinium carterae","1314_C",515768323.787289
"Adenine","pos","Prasinophyte","Micromonas pusilla","1545_A",83486221.3797978
"Adenine","pos","Prasinophyte","Micromonas pusilla","1545_B",64612850.47681
"Adenine","pos","Prasinophyte","Micromonas pusilla","1545_C",87209998.3208891
"Adenine","pos","Dinoflagellate","Alexandrium tamarense","1771_A",122247924.748735
"Adenine","pos","Dinoflagellate","Alexandrium tamarense","1771_B",108768758.768035
"Adenine","pos","Dinoflagellate","Alexandrium tamarense","1771_C",215547983.788674
"Adenine","pos","Dinoflagellate","Lingulodinium polyedra","2021_A",133480265.055533
"Adenine","pos","Dinoflagellate","Lingulodinium polyedra","2021_B",78313164.8990292
"Adenine","pos","Dinoflagellate","Lingulodinium polyedra","2021_C",101633474.181159
"Adenine","pos","Dinoflagellate","Heterocapsa triquetra","449_A",699863209.74545
"Adenine","pos","Dinoflagellate","Heterocapsa triquetra","449_B",681200964.175879
"Adenine","pos","Dinoflagellate","Heterocapsa triquetra","449_C",375156226.989971
"Adenine","pos","Prasinophyte","Ostreococcus lucimarinus","3430_A",208244102.494879
"Adenine","pos","Prasinophyte","Ostreococcus lucimarinus","3430_B",362269806.407354
"Adenine","pos","Prasinophyte","Ostreococcus lucimarinus","3430_C",269029793.003071
"Adenine","pos","Archaea","Nitrosopumilus maritimus","Nmar_1",1775921985.56592
"Adenine","pos","Archaea","Nitrosopumilus maritimus","Nmar_2",1848781531.35821
"Adenine","pos","Archaea","Nitrosopumilus maritimus","Nmar_3",1565279583.24985
"Adenosine","pos","Cyanobacteria","Synechococcus sp.","7803_B",1511271207.22813
"Adenosine","pos","Cyanobacteria","Synechococcus sp.","7803_F",2004628458.67134
"Adenosine","pos","Cyanobacteria","Synechococcus sp.","8102_A",789554169.491525
