Percent downwelling PAR penetration measured with a hyperspectral radiometer (Hyperpro). Data are in % of surface downwelling PAR and they were processed with the procedure described in Barone et al. (GBC, 20022).
First three rows are year, month, and day. The first six profiles are in the cyclone, and the last six are in the anticyclone.
First column is depth (m). 

NaN,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
NaN,7,7,7,7,7,7,7,7,7,7,7,7
NaN,4,4,5,5,6,6,9,9,10,10,11,11
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,NaN,NaN,NaN,NaN,NaN,64.2,NaN,NaN,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,72.5,NaN,86.82,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,63.99,NaN,70.19,NaN,62.84,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,45.13,NaN,59.68,NaN,49.57,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,65.64,NaN,72.57,NaN,60.03,NaN,NaN,NaN,45,NaN,55.93
8,NaN,50.03,NaN,57.28,NaN,56.66,NaN,NaN,NaN,55.23,NaN,52.87
9,NaN,43.83,NaN,55.48,NaN,48.06,NaN,NaN,NaN,57.43,NaN,44.12
10,NaN,42.6,NaN,51.9,NaN,51.34,60.71,NaN,NaN,39.57,NaN,35.42
11,NaN,39.36,NaN,49.98,NaN,41.1,48.82,NaN,47.3,50.25,NaN,47.95
12,NaN,38.75,NaN,45.8,47.87,40.85,51.26,NaN,45.53,45.65,NaN,41.84
13,41.81,44.6,NaN,46.19,46.29,46.51,48.28,NaN,40.2,42.99,NaN,41.02
14,38.21,43.03,NaN,39.14,45.37,46.2,44.04,39.95,32.65,42.3,NaN,39.76
15,30.35,39.69,NaN,36.93,45.24,40.53,47.41,36.98,36.06,35.69,34.23,37.71
16,37.21,32.35,41.05,37.8,41.04,38.96,44.56,35.49,39.28,39.23,34.59,39.26
17,31.9,36.53,39.66,32.94,39.04,37.04,47.93,35.61,30.24,37.01,36.45,41.45
18,34.86,33.85,32.96,31.2,36,35.27,43.08,35.09,38.65,35.16,35.58,34.64
19,29.18,30.51,32.77,34.05,35.08,35.64,40.81,34,29.82,35.16,33.27,34.42
20,31.65,32.16,32.97,33.45,32.05,33.72,37.3,35.36,18.63,30.94,34.66,32.19
21,28.49,29.38,31.73,28.74,31.01,27.37,35.1,34.3,11.15,30.5,30.51,29.59
22,30.4,26.61,33.29,31.73,27.6,29.49,32.46,31.13,14.28,34.16,34.06,33.6
23,29.13,27.45,29.32,30.31,28.88,33.43,30.4,32.21,12.02,30.15,26.41,33.46
24,25.46,25.14,27.51,27.33,27.24,30.08,29.51,29.16,8.04,28.31,27.16,29.66
25,22.28,25.07,27.94,27.84,28.87,27.85,29.07,27.56,5.52,26.88,26.39,30.69
26,21.79,24.97,23.94,27.33,25.44,24.8,28.65,26.86,5.08,27.92,27.36,23.7
27,18.83,22.84,27.93,28.41,24.15,24.6,29.04,24.95,4.69,23.68,28.13,25.28
28,17.76,21.42,22.81,22.61,23.68,22.45,26.96,23.3,4.56,24.78,23.63,24.94
29,17.95,20.68,23.26,24.61,22.39,21.56,26.86,23.67,4.5,23.52,24.31,22.32
30,17.73,19.28,22.34,24.97,21.26,22.56,25.3,23.21,4.61,21.7,24.01,22.25
31,18.04,19.94,22.86,22.24,23.55,21.42,23.63,23.39,6.63,21.18,23.03,20.38
32,18.27,19.94,19.08,22.51,22.73,25.49,23.65,23.35,9.07,19.21,20.32,22.73
33,16.78,19.68,20.09,21.64,20.53,20.51,24.11,21.36,14.97,20.69,21.47,19.6
