"station","sla"
28,-0.142
29,-0.142
30,-0.142
31,-0.1405
32,-0.1405
33,-0.1172
34,-0.1172
35,-0.1131
36,-0.1131
37,-0.1131
38,-0.1131
39,-0.1131
40,-0.1131
41,-0.1131
42,-0.0978
43,-0.0978
44,-0.1
45,-0.1
46,-0.1
47,-0.1
48,-0.1
49,-0.1
50,-0.1
51,-0.0809
52,-0.0809
53,-0.0809
54,-0.0809
55,-0.0809
56,-0.1102
57,-0.0813
58,-0.0813
59,-0.0813
60,-0.1089
61,-0.0843
62,-0.0843
63,-0.1181
64,-0.0888
65,-0.0888
66,-0.0888
67,-0.1099
68,-0.1099
69,-0.0898
70,-0.1099
71,-0.044
72,0.0405
73,0.0977
74,0.2345
75,0.2345
76,0.2349
77,0.2349
78,0.234
79,0.234
80,0.234
81,0.234
82,0.234
83,0.2341
84,0.2341
85,0.2327
86,0.2327
