stn,cast,sla_corr
1,1,-4.23
2,1,-16.61
3,1,-6.41
4,1,-3.69
5,1,-2.56
6,1,-16.96
7,1,-16.71
8,1,-16.8
9,1,-16.71
10,1,-16.65
11,1,-16.59
12,1,-16.41
13,1,-16.19
14,1,-16.61
15,1,-16.89
16,1,-17.01
17,1,-16.94
18,1,-16.88
19,1,-16.93
20,1,-16.9
21,1,-16.75
22,1,-16.58
23,1,-16.62
24,1,-16.66
25,1,-16.3
26,1,-16.1
27,1,-16.28
28,1,-15.98
29,1,-16.04
30,1,-15.94
31,1,-15.85
32,1,-15.26
33,1,-14.86
34,1,-14.79
35,1,-13.8
36,1,-13.72
37,1,-13.6
38,1,-13.72
39,1,-13.97
40,1,-13.47
41,1,-13.52
42,1,-12.6
43,1,-12.74
44,1,-12.06
45,1,-12.15
46,1,-12.22
47,1,-11.78
48,1,-11.88
49,1,-11.92
50,1,-12.12
51,1,-11.45
52,1,-11.41
53,1,-11.3
54,1,-11.41
55,1,-11.07
56,1,-12.03
57,1,-10.75
58,1,-10.89
59,1,-10.8
60,1,-12.02
61,1,-11.7
62,1,-11.47
63,1,-13.49
64,1,-11.59
65,1,-11.73
66,1,-11.74
67,1,-12.75
68,1,-11.99
69,1,-11.35
70,1,-11.61
71,1,-5.88
72,1,1.56
73,1,5.99
74,1,19.87
75,1,20.06
76,1,21.14
77,1,21.08
78,1,21.06
79,1,21.04
80,1,21.03
81,1,20.86
82,1,20.84
83,1,20.87
84,1,21.02
85,1,20.84
86,1,20.69
