stn,cast,sla_corr
1,1,2.88
2,1,12.62
3,1,3.84
4,1,-3.27
4,2,-3.25
4,3,-3.22
5,1,19.05
5,2,19.05
6,1,23.99
6,2,24
6,3,23.99
7,1,21.25
7,2,21.27
7,3,21.26
8,1,17.03
8,2,17.04
9,1,10.35
9,2,10.37
9,3,10.41
10,1,2.27
10,2,2.3
11,1,-6.9
11,2,-6.8
11,3,-6.82
12,1,-14.77
12,2,-14.77
13,1,-5.89
13,2,-6.07
13,3,-6.01
14,1,8.66
14,2,8.61
15,1,-4.85
15,2,-4.82
15,3,-4.78
L1,1,-13.4
L1,2,-13.31
L1,3,-13.28
L1,4,-13.23
L1,5,-13.21
L1,6,-13.18
L1,7,-13.12
L1,8,-13.12
L1,9,-13.11
L1,10,-13.02
L1,11,-13
L1,12,-12.94
L1,13,-12.92
L1,14,-12.87
L1,15,-12.87
L1,16,-12.94
L1,17,-12.93
L1,18,-12.99
L1,19,-13.02
L1,20,-13
L1,21,-12.98
L1,22,-12.96
L1,23,-12.59
L1,24,-12.57
L1,25,-12.32
L1,26,-12.14
L1,27,-12.09
L1,28,-12.05
L1,29,-12.02
L1,30,-11.97
L1,31,-11.95
L1,32,-12.08
L1,33,-12.08
L2,1,25.29
L2,2,25.3
L2,3,25.31
L2,4,25.29
L2,5,25.27
L2,6,25.33
L2,7,25.36
L2,8,25.38
L2,9,25.4
L2,10,25.41
L2,11,25.41
L2,12,25.42
L2,13,25.43
L2,14,25.44
L2,15,25.43
L2,16,25.43
L2,17,25.43
L2,18,25.45
L2,19,25.49
L2,20,25.53
L2,21,25.57
L2,22,25.58
L2,23,25.59
L2,24,25.6
L2,25,25.63
L2,26,25.71
L2,27,25.77
L2,28,25.78
L2,29,25.79
L2,30,25.8
L2,31,25.82
L2,32,25.83
