"station","cast","time","max_depth","bottles","lat","lon"
"1",1,2017-06-26 20:55:19,104.18,24,21.1901666666667,-157.742166666667
"2",1,2017-06-27 10:54:17,202.65,24,22.9258333333333,-157.7475
"3",1,2017-06-28 03:34:41,203.46,11,23.943,-158.092833333333
"4",1,2017-06-29 10:48:40,201.91,24,27.9516666666667,-157.283666666667
"4",2,2017-06-29 13:12:29,555.08,24,27.9508333333333,-157.284166666667
"4",3,2017-06-29 15:11:32,202.47,21,27.9503333333333,-157.286
"5",1,2017-06-29 22:12:29,202.8,24,27.18,-157.6075
"5",2,2017-06-30 00:02:12,505.75,24,27.1796666666667,-157.607333333333
"6",1,2017-06-30 06:32:52,501.58,24,26.3701666666667,-158.010666666667
"6",2,2017-06-30 08:23:09,201.53,24,26.3705,-158.010833333333
"6",3,2017-06-30 09:34:20,201.35,24,26.37,-158.010666666667
"7",1,2017-06-30 11:35:43,200.71,24,26.17,-158.022333333333
"7",2,2017-06-30 13:25:11,201.31,15,26.1708333333333,-158.0225
"7",3,2017-06-30 15:31:00,502.58,24,26.1701666666667,-158.021833333333
"8",1,2017-06-30 18:11:24,201.09,24,25.925,-158.1235
"8",2,2017-06-30 20:07:32,500.92,24,25.9243333333333,-158.123666666667
"9",1,2017-06-30 22:52:32,15.98,10,25.6788333333333,-158.225
"9",2,2017-06-30 23:32:21,202.46,24,25.679,-158.225
"9",3,2017-07-01 01:11:25,501.39,24,25.6801666666667,-158.225166666667
"10",1,2017-07-01 03:45:09,502.68,24,25.4323333333333,-158.326833333333
"10",2,2017-07-01 06:34:21,200.55,24,25.4318333333333,-158.327
"11",1,2017-07-01 09:44:55,520.6,24,25.186,-158.428166666667
"11",2,2017-07-01 11:28:10,203.11,24,25.1876666666667,-158.428333333333
"11",3,2017-07-01 13:04:36,200.91,24,25.1865,-158.429333333333
"12",1,2017-07-01 15:50:07,200.85,24,24.8595,-158.568333333333
"12",2,2017-07-01 17:30:43,501.24,20,24.8605,-158.568833333333
"13",1,2017-07-01 22:00:28,501.52,24,24.4708333333333,-158.723166666667
"13",2,2017-07-02 00:04:16,200.69,24,24.4721666666667,-158.719333333333
"13",3,2017-07-02 01:32:49,16.59,24,24.4715,-158.723166666667
"14",1,2017-07-02 04:33:12,501.83,18,23.9998333333333,-158.917166666667
"14",2,2017-07-02 06:32:57,201.13,24,24.0005,-158.918166666667
"15",1,2017-07-03 14:26:55,224.09,4,25.09,-158.079833333333
"15",2,2017-07-03 17:29:27,201.38,24,25.0898333333333,-158.08
"15",3,2017-07-03 18:50:10,501.76,24,25.0908333333333,-158.079833333333
"L1",1,2017-07-04 01:31:51,400.7,24,24.7276666666667,-158.561
"L1",2,2017-07-04 08:58:17,400.47,24,24.7213333333333,-158.5095
"L1",3,2017-07-04 11:46:49,400.88,23,24.7235,-158.5025
"L1",4,2017-07-04 16:28:29,401.11,15,24.7203333333333,-158.486666666667
"L1",5,2017-07-04 17:55:18,700.41,12,24.7241666666667,-158.4835
"L1",6,2017-07-04 20:02:11,401.34,23,24.7303333333333,-158.489166666667
"L1",7,2017-07-04 22:38:08,15.71,24,24.7451666666667,-158.482166666667
"L1",8,2017-07-04 23:11:04,15.5,24,24.7451666666667,-158.482166666667
"L1",9,2017-07-05 00:00:56,400.97,23,24.744,-158.4815
"L1",10,2017-07-05 04:03:50,400.27,23,24.7586666666667,-158.4785
"L1",11,2017-07-05 07:52:34,401.18,24,24.759,-158.499
"L1",12,2017-07-05 11:00:00,45.33,24,24.782,-158.508
"L1",13,2017-07-05 12:08:06,400.26,22,24.7833333333333,-158.509166666667
"L1",14,2017-07-05 13:31:13,400.73,23,24.7905,-158.502166666667
"L1",15,2017-07-05 16:17:00,401.43,14,24.7868333333333,-158.5155
"L1",16,2017-07-05 19:58:18,401.91,17,24.791,-158.557
"L1",17,2017-07-05 23:57:19,401.08,24,24.7991666666667,-158.569666666667
"L1",18,2017-07-06 03:55:12,701.31,22,24.8088333333333,-158.597666666667
"L1",19,2017-07-06 07:54:37,401.09,24,24.8103333333333,-158.620166666667
"L1",20,2017-07-06 09:23:51,400.94,24,24.8113333333333,-158.6205
