"station","cast","sla"
"1",1,0.049
"2",1,0.1404
"3",1,-0.012
"4",1,-0.0392
"4",2,-0.0392
"4",3,-0.0393
"5",1,0.1837
"5",2,0.1834
"6",1,0.2522
"6",2,0.2521
"6",3,0.252
"7",1,0.228
"7",2,0.2282
"7",3,0.2282
"8",1,0.1793
"8",2,0.1793
"9",1,0.1035
"9",2,0.1036
"9",3,0.1041
"10",1,0.0106
"10",2,0.0111
"11",1,-0.0893
"11",2,-0.0883
"11",3,-0.0885
"12",1,-0.1609
"12",2,-0.1609
"13",1,-0.0676
"13",2,-0.0692
"13",3,-0.0685
"14",1,0.0735
"14",2,0.073
"15",1,-0.0548
"15",2,-0.0531
"15",3,-0.0522
"L1",1,-0.1374
"L1",2,-0.1304
"L1",3,-0.1281
"L1",4,-0.1284
"L1",5,-0.1287
"L1",6,-0.1292
"L1",7,-0.1298
"L1",8,-0.1299
"L1",9,-0.13
"L1",10,-0.1309
"L1",11,-0.1322
"L1",12,-0.1339
"L1",13,-0.1342
"L1",14,-0.134
"L1",15,-0.1343
"L1",16,-0.1363
"L1",17,-0.1371
"L1",18,-0.1391
"L1",19,-0.1403
"L1",20,-0.1403
"L1",21,-0.1403
"L1",22,-0.1402
"L1",23,-0.1367
"L1",24,-0.1367
"L1",25,-0.1332
"L1",26,-0.1316
"L1",27,-0.1312
"L1",28,-0.1313
"L1",29,-0.131
"L1",30,-0.1312
"L1",31,-0.1311
"L1",32,-0.1322
"L1",33,-0.1322
"L2",1,0.2514
"L2",2,0.2513
"L2",3,0.2496
"L2",4,0.2487
"L2",5,0.2479
"L2",6,0.2482
"L2",7,0.2485
"L2",8,0.2486
"L2",9,0.2487
"L2",10,0.2487
"L2",11,0.2487
"L2",12,0.2487
"L2",13,0.2488
"L2",14,0.2488
"L2",15,0.2485
"L2",16,0.2478
"L2",17,0.247
"L2",18,0.2456
"L2",19,0.2448
"L2",20,0.2443
"L2",21,0.2436
"L2",22,0.2433
"L2",23,0.243
"L2",24,0.2428
"L2",25,0.2419
"L2",26,0.2415
"L2",27,0.2417
"L2",28,0.2417
"L2",29,0.2419
"L2",30,0.242
"L2",31,0.2418
"L2",32,0.2416
