filename,timestamp,polarity
170706_Blk_Blk0p2_1.mzML,2017-07-09T07:25:06Z,neg
170706_Blk_Blk0p2_2.mzML,2017-07-12T01:16:51Z,neg
180205_Poo_TruePoo_Full1.mzML,2018-02-06T09:03:46Z,neg
180205_Poo_TruePoo_Full2.mzML,2018-02-07T04:25:24Z,neg
180205_Poo_TruePoo_Full3.mzML,2018-02-08T19:59:10Z,neg
180205_Poo_TruePoo_Half1.mzML,2018-02-06T09:54:16Z,neg
180205_Poo_TruePoo_Half2.mzML,2018-02-07T03:34:55Z,neg
180205_Poo_TruePoo_Half3.mzML,2018-02-08T01:28:03Z,neg
180205_Smp_L1C32DCMless10m_A.mzML,2018-02-06T16:38:20Z,neg
180205_Smp_L1C32DCMless10m_B.mzML,2018-02-07T12:50:29Z,neg
180205_Smp_L1C32DCMless10m_C.mzML,2018-02-08T08:12:08Z,neg
180205_Smp_L1C32DCMless20m_A.mzML,2018-02-06T19:09:50Z,neg
180205_Smp_L1C32DCMless20m_B.mzML,2018-02-07T16:12:29Z,neg
180205_Smp_L1C32DCMless20m_C.mzML,2018-02-08T14:05:39Z,neg
180205_Smp_L1C33DCM_A.mzML,2018-02-06T21:41:22Z,neg
180205_Smp_L1C33DCM_B.mzML,2018-02-07T07:47:28Z,neg
180205_Smp_L1C33DCM_C.mzML,2018-02-08T17:27:42Z,neg
180205_Smp_L1C33DCMplus10m_A.mzML,2018-02-06T13:16:17Z,neg
180205_Smp_L1C33DCMplus10m_B.mzML,2018-02-07T21:15:29Z,neg
180205_Smp_L1C33DCMplus10m_C.mzML,2018-02-08T13:15:11Z,neg
180205_Smp_L1C33DCMplus20m_A.mzML,2018-02-06T22:31:51Z,neg
180205_Smp_L1C33DCMplus20m_B.mzML,2018-02-07T15:21:59Z,neg
180205_Smp_L1C33DCMplus20m_C.mzML,2018-02-08T10:43:41Z,neg
180205_Smp_L2C1DCMless10m_A.mzML,2018-02-06T23:22:21Z,neg
180205_Smp_L2C1DCMless10m_B.mzML,2018-02-07T10:18:56Z,neg
180205_Smp_L2C1DCMless10m_C.mzML,2018-02-08T16:37:09Z,neg
180205_Smp_L2C1DCMless20m_A.mzML,2018-02-06T12:25:48Z,neg
180205_Smp_L2C1DCMless20m_B.mzML,2018-02-07T13:40:57Z,neg
180205_Smp_L2C1DCMless20m_C.mzML,2018-02-08T09:02:39Z,neg
180205_Smp_L2C2DCM_A.mzML,2018-02-06T20:00:21Z,neg
180205_Smp_L2C2DCM_B.mzML,2018-02-07T17:53:29Z,neg
180205_Smp_L2C2DCM_C.mzML,2018-02-08T11:34:09Z,neg
180205_Smp_L2C2DCMplus10m_A.mzML,2018-02-06T15:47:49Z,neg
180205_Smp_L2C2DCMplus10m_B.mzML,2018-02-07T09:28:28Z,neg
180205_Smp_L2C2DCMplus10m_C.mzML,2018-02-08T15:46:41Z,neg
180205_Smp_L2C2DCMplus20m_A.mzML,2018-02-06T14:57:19Z,neg
180205_Smp_L2C2DCMplus20m_B.mzML,2018-02-07T20:25:01Z,neg
180205_Smp_L2C2DCMplus20m_C.mzML,2018-02-08T19:08:43Z,neg
180205_Std_4uMStdsInH2O_1.mzML,2018-02-06T04:00:46Z,neg
180205_Std_4uMStdsInH2O_2.mzML,2018-02-08T22:30:42Z,neg
180205_Std_4uMStdsInMatrix_1.mzML,2018-02-06T05:41:47Z,neg
180205_Std_4uMStdsInMatrix_2.mzML,2018-02-08T21:40:14Z,neg
180821_Poo_Day1and2Poo_Full1.mzML,2018-08-22T13:08:12Z,neg
180821_Poo_Day1and2Poo_Full2.mzML,2018-08-23T14:23:23Z,neg
180821_Poo_Day1and2Poo_Full3.mzML,2018-08-25T00:25:51Z,neg
180821_Poo_Day1and2Poo_Full4.mzML,2018-08-26T13:28:07Z,neg
180821_Poo_Day1and2Poo_Full5.mzML,2018-08-29T20:37:19Z,neg
180821_Poo_Day1and2Poo_Full6.mzML,2018-08-30T20:11:31Z,neg
180821_Poo_Day1and2Poo_Half1.mzML,2018-08-22T12:17:43Z,neg
180821_Poo_Day1and2Poo_Half2.mzML,2018-08-23T05:58:22Z,neg
180821_Poo_Day1and2Poo_Half3.mzML,2018-08-24T23:35:22Z,neg
180821_Poo_Day1and2Poo_Half4.mzML,2018-08-26T14:18:38Z,neg
180821_Poo_Day1and2Poo_Half5.mzML,2018-08-29T19:46:50Z,neg
180821_Poo_Day1and2Poo_Half6.mzML,2018-08-30T18:30:35Z,neg
180821_Smp_MS10C215m_A.mzML,2018-08-22T22:23:45Z,neg
180821_Smp_MS10C215m_B.mzML,2018-08-31T05:27:06Z,neg
180821_Smp_MS10C215m_C.mzML,2018-08-26T10:56:35Z,neg
180821_Smp_MS10C2175m_A.mzML,2018-08-31T07:08:08Z,neg
180821_Smp_MS10C2175m_B.mzML,2018-08-29T10:31:15Z,neg
180821_Smp_MS10C2175m_C.mzML,2018-08-24T05:54:43Z,neg
180821_Smp_MS10C2DCM_A.mzML,2018-08-29T12:12:18Z,neg
180821_Smp_MS10C2DCM_B.mzML,2018-08-31T08:49:09Z,neg
180821_Smp_MS10C2DCM_C.mzML,2018-08-29T14:43:46Z,neg
180821_Smp_MS11C215m_A.mzML,2018-08-24T17:41:47Z,neg
180821_Smp_MS11C215m_B.mzML,2018-08-23T09:20:21Z,neg
180821_Smp_MS11C215m_C.mzML,2018-08-24T18:32:18Z,neg
180821_Smp_MS11C2175m_A.mzML,2018-08-28T09:16:04Z,neg
180821_Smp_MS11C2175m_B.mzML,2018-08-24T10:07:15Z,neg
180821_Smp_MS11C2175m_C.mzML,2018-08-25T15:34:57Z,neg
180821_Smp_MS11C2DCM_A.mzML,2018-08-28T21:53:36Z,neg
180821_Smp_MS11C2DCM_B.mzML,2018-08-22T23:14:16Z,neg
180821_Smp_MS11C2DCM_C.mzML,2018-08-29T07:09:14Z,neg
180821_Smp_MS12C115m_A.mzML,2018-08-29T09:40:44Z,neg
180821_Smp_MS12C115m_B.mzML,2018-08-30T05:52:57Z,neg
180821_Smp_MS12C115m_C.mzML,2018-08-28T12:38:03Z,neg
180821_Smp_MS12C1175m_A.mzML,2018-08-23T00:55:16Z,neg
180821_Smp_MS12C1175m_B.mzML,2018-08-29T18:05:47Z,neg
180821_Smp_MS12C1175m_C.mzML,2018-08-26T11:47:08Z,neg
180821_Smp_MS12C1DCM_A.mzML,2018-08-23T11:01:22Z,neg
180821_Smp_MS12C1DCM_B.mzML,2018-08-28T22:44:07Z,neg
180821_Smp_MS12C1DCM_C.mzML,2018-08-28T20:12:35Z,neg
180821_Smp_MS13C2175m_A.mzML,2018-08-23T11:51:53Z,neg
180821_Smp_MS13C2175m_B.mzML,2018-08-24T07:35:45Z,neg
180821_Smp_MS13C2175m_C.mzML,2018-08-25T09:41:26Z,neg
180821_Smp_MS13C2DCM_A.mzML,2018-08-24T20:13:19Z,neg
180821_Smp_MS13C2DCM_B.mzML,2018-08-25T12:12:58Z,neg
180821_Smp_MS13C2DCM_C.mzML,2018-08-26T08:25:05Z,neg
180821_Smp_MS13C315m_A.mzML,2018-08-28T15:09:35Z,neg
