feature,mzmed,rtmed,compound_name,structure,class,cruise,polarity
FT0003,60.06447886851161,9.412772623697917,NA,NA,NA,FK,pos
FT0042,70.0658200134244,7.504706827799478,NA,NA,NA,FK,pos
FT0056,72.0814481651434,7.070278676350911,NA,NA,NA,FK,pos
FT0057,72.08144479425236,5.440715535481771,NA,NA,NA,FK,pos
FT0090,74.06069605653565,9.894366455078124,NA,NA,NA,FK,pos
FT0091,74.0606975316308,9.30265401204427,NA,NA,NA,FK,pos
FT0099,75.10042880420646,8.99396464029948,NA,NA,NA,FK,pos
FT0100,76.03999836201224,10.494403076171874,Glycine,NA,NA,FK,pos
FT0103,77.07966661442192,5.218178304036458,NA,NA,NA,FK,pos
FT0118,84.04499159891637,9.995914204915364,NA,NA,NA,FK,pos
FT0119,84.04498577144575,10.833963012695312,NA,NA,NA,FK,pos
FT0121,84.0449536005934,5.549825032552083,NA,NA,NA,FK,pos
FT0128,84.08132911819122,7.975771077473959,NA,NA,NA,FK,pos
FT0129,85.02897510331259,5.342318979899089,NA,NA,NA,FK,pos
FT0130,85.02896175019544,2.1680142720540365,NA,NA,NA,FK,pos
FT0131,85.02897257929338,7.896914164225261,NA,NA,NA,FK,pos
FT0132,85.02895958497946,8.764527384440104,NA,NA,NA,FK,pos
FT0138,86.06059455689088,9.54108378092448,NA,NA,NA,FK,pos
FT0145,87.0445855460496,2.4966238657633464,NA,NA,NA,FK,pos
FT0146,87.04460702077235,1.9286687215169271,NA,NA,NA,FK,pos
FT0151,87.04461370253878,6.792440287272135,NA,NA,NA,FK,pos
FT0179,90.05549037579219,9.508095296223958,L-Alanine,NA,NA,FK,pos
FT0180,90.05549550021432,10.17823282877604,beta-Alanine,NA,NA,FK,pos
FT0181,90.05547190771424,8.818379211425782,Sarcosine,NA,NA,FK,pos
FT0184,90.09189576391496,5.444854736328125,NA,NA,NA,FK,pos
FT0190,91.05475655767516,3.1532661437988283,NA,NA,NA,FK,pos
FT0191,91.09517067922474,4.943559773763021,NA,NA,NA,FK,pos
FT0193,93.04523757759571,7.004364013671875,NA,NA,NA,FK,pos
FT0194,93.07426913288371,9.524229431152344,"DL-Alanine, 2H3",NA,NA,FK,pos
FT0195,94.04557169673912,13.145756022135416,NA,NA,NA,FK,pos
FT0205,97.0765017498986,7.918608601888022,NA,NA,NA,FK,pos
FT0235,101.06012471336996,1.9219935099283856,NA,NA,NA,FK,pos
FT0242,102.05536997832417,5.468203226725261,NA,NA,NA,FK,pos
FT0244,102.05536879646748,9.209832255045573,NA,NA,NA,FK,pos
FT0246,102.0553572772402,10.894170633951823,NA,NA,NA,FK,pos
FT0249,103.0393574064258,2.3906355539957684,NA,NA,NA,FK,pos
FT0250,103.05463171016616,3.1307111104329426,NA,NA,NA,FK,pos
FT0260,104.07103464151405,10.24559580485026,4-Aminobutyric acid,NA,NA,FK,pos
FT0272,105.07431548993247,6.872270202636718,NA,NA,NA,FK,pos
FT0273,105.11072142749111,9.225013133658852,NA,NA,NA,FK,pos
FT0274,105.11072004055492,10.635617065429688,NA,NA,NA,FK,pos
FT0277,110.07160816282284,9.571608479817709,NA,NA,NA,FK,pos
FT0297,112.05089185353174,4.828016153971354,Cytosine,NA,NA,FK,pos
FT0305,113.05417395102538,5.417547353108724,NA,NA,NA,FK,pos
FT0306,113.05420525549468,6.514600880940756,NA,NA,NA,FK,pos
